river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Abita River,Abita River_1,What is the designated status of the Abita River's length from headwaters to mouth?,"Designated a ""Natural and Scenic River""","Designated a ""Navigable Waterway""","Designated a ""Protected Wildlife Habitat""","Designated a ""Recreational Waterway""","Designated a ""Historic Landmark River""",0
Abita River,Abita River_2,"If the Abita River is 9.3 miles long, approximately how many kilometers is its total length?",12.1 km,15.0 km,9.3 km,20.5 km,18.6 km,1
Abrahams Creek,Abrahams Creek_1,What is the approximate daily sediment load of Abrahams Creek in kilograms?,31 million kilograms,14 million kilograms,17.2 million kilograms,45 million kilograms,10.7 million kilograms,0
Abrahams Creek,Abrahams Creek_2,Which of the following rock formations is NOT listed as a main component of the Abrahams Creek watershed?,The Onondaga Formation,The Catskill Formation,The Llewellyn Formation,The Mauch Chunk Formation,The Pocono Formation,0
Abram Creek (Ohio),Abram Creek (Ohio)_1,What is the total drainage area of Abram Creek in square miles?,10.6 square miles,10.0 square miles,11.6 square miles,9.6 square miles,10.6 square kilometers,0
Abram Creek (Ohio),Abram Creek (Ohio)_2,Which municipality contributes the largest percentage of Abram Creek's basin area?,Brook Park (31.3%),Cleveland (13.1%),Middleburg Heights (48.8%),Berea (6.6%),Parma Heights (0.2%),2
Abram Creek (West Virginia),Abram Creek (West Virginia)_1,What is the approximate length of Abram Creek in kilometers?,31.2 km,19.4 km,31.0 km,19.2 km,31.4 km,0
Abram Creek (West Virginia),Abram Creek (West Virginia)_2,Abram Creek is a tributary stream of which larger river system?,North Branch Potomac River,South Branch Potomac River,Monongahela River,Ohio River,Allegheny River,0
Abrams Creek (Tennessee),Abrams Creek (Tennessee)_1,In what year was Abrams Creek deliberately poisoned to eliminate native fish populations?,1957,1956,1958,1967,1947,0
Abrams Creek (Tennessee),Abrams Creek (Tennessee)_2,Abrams Creek is a tributary of which larger river system?,Little Tennessee River,Big Tennessee River,Holston River,French Broad River,Hiwassee River,0
Abrams Creek (Virginia),Abrams Creek (Virginia)_1,What is the approximate length of Abrams Creek in kilometers?,18.0 km,11.2 km,29.2 km,18.0 miles,11.2 miles,0
Abrams Creek (Virginia),Abrams Creek (Virginia)_2,Abrams Creek originates north of which geographical landmark?,Round Hill,Opequon Creek,Frederick County,Winchester,Abraham's Creek,0
Abrams Run,Abrams Run_1,What is the geographical designation of Abrams Run?,A stream in West Virginia,A river in Ohio,A creek in Pennsylvania,A brook in Virginia,A waterway in Kentucky,0
Abrams Run,Abrams Run_2,The naming of Abrams Run is attributed to which historical figure?,Abram Bennett,Abram Johnson,Abram Smith,Abram Williams,Abram Brown,0
Accokeek Creek,Accokeek Creek_1,What is the total length of Accokeek Creek in kilometers?,24.8 km,15.4 km,24.8 miles,15.4 miles,30.2 km,0
Accokeek Creek,Accokeek Creek_2,Accokeek Creek is a tidal tributary of which larger river system?,Potomac River,Potomac Creek,Accokeek River,Stafford Creek,Virginia River,0
Accotink Creek,Accotink Creek_1,What is the approximate length of Accotink Creek in kilometers?,40.2 km,25.0 km,40.0 km,25.2 km,40.5 km,0
Accotink Creek,Accotink Creek_2,Accotink Creek is dammed to form which named lake?,Lake Accotink,Lake Springfield,Lake Gunston,Lake Potomac,Lake Belvoir,0
Acharistsqali,Acharistsqali_1,What is the total area of the Acharistsqali's drainage basin in square miles?,590 sq mi,"1,540 sq mi",56 sq mi,154 sq mi,59 sq mi,0
Acharistsqali,Acharistsqali_2,"If the Acharistsqali flows into the Çoruh, and the Çoruh flows into the Black Sea, what is the ultimate destination of the Acharistsqali's water?",The Caspian Sea,The Mediterranean Sea,The Black Sea,The Aegean Sea,The Adriatic Sea,2
Ackerly Creek,Ackerly Creek_1,What is the approximate drainage area of Ackerly Creek in square kilometers?,47 km²,14 km²,18 km²,8.7 km²,87 km²,0
Ackerly Creek,Ackerly Creek_2,Ackerly Creek is designated as a Coldwater Fishery and a Migratory Fishery; what type of fish were noted to inhabit it as of the 1990s?,Trout,Salmon,Bass,Catfish,Perch,0
Ackerman Creek,Ackerman Creek_1,"What is the Pomo tribal name for Ackerman Creek, and what does it translate to?",Ya-mo bida - wind hole creek,Pinole bida - water hole creek,Mendo bida - mountain creek,California bida - golden creek,Native bida - sacred creek,0
Ackerman Creek,Ackerman Creek_2,Which of the following is NOT a component of the Pinoleville Pomo Nation's ongoing restoration efforts for Ackerman Creek?,Monitoring of macroinvertebrates,Removal of invasive species,Propagation of non-native fish species,Ongoing monitoring of ground water,Propagation of native species including steelhead,2
Ackerson Creek,Ackerson Creek_1,Ackerson Creek is a tributary to which larger river system?,South Fork Tuolumne River,North Fork Tuolumne River,Merced River,Stanislaus River,Calaveras River,0
Ackerson Creek,Ackerson Creek_2,In which U.S. county is Ackerson Creek located?,Tuolumne County,Mariposa County,Calaveras County,Stanislaus County,Alpine County,0
Acorn Creek,Acorn Creek_1,What is the discharge rate of Acorn Creek in cubic feet per second?,2.74 cfs,2.07 cfs,3.47 cfs,2.74 gpm,2.74 m³/s,0
Acorn Creek,Acorn Creek_2,Acorn Creek is a tributary to which larger river system?,Chattahoochee River,Ocmulgee River,Flint River,Savannah River,Etowah River,0
Acushnet River,Acushnet River_1,What is the approximate length of the Acushnet River in miles?,8.6 miles,13.8 miles,7.5 miles,9.2 miles,15.0 miles,0
Acushnet River,Acushnet River_2,"The Wampanoag or Algonquian word 'Cushnea', meaning 'as far as the waters', was used by the original inhabitants to describe the extent of what?",A specific river,A parcel of land intended for sale,The entire Buzzards Bay coastline,The Plimouth colony's territory,The furthest navigable point upstream,1
Adair Creek,Adair Creek_1,Approximately how far downstream from its confluence with Logan Creek is the dam on Adair Creek located?,One mile,3.5 miles,Three miles,About 0.5 miles,Two miles,0
Adair Creek,Adair Creek_2,Adair Creek is a tributary of which larger waterway?,Missouri Route B,Missouri Route 72,Logan Creek,Sweetwater Mine,Missouri Route P,2
Adams Branch,Adams Branch_1,Adams Branch is a tributary of which larger river system?,South Grand River,North Grand River,Missouri River,Mississippi River,Osage River,0
Adams Branch,Adams Branch_2,In which Missouri county is Adams Branch located?,Cass County,Jackson County,Clay County,Platte County,Ray County,0
Adams Branch (Richardson Creek tributary),Adams Branch (Richardson Creek tributary)_1,What is the approximate length of Adams Branch in kilometers?,7.47 km,4.64 km,7.47 mi,4.64 km,7.00 km,0
Adams Branch (Richardson Creek tributary),Adams Branch (Richardson Creek tributary)_2,Adams Branch originates in which North Carolina county before flowing into Richardson Creek?,Union County,Mecklenburg County,Wake County,Durham County,Orange County,0
Adams Creek (Dutch Buffalo Creek tributary),Adams Creek (Dutch Buffalo Creek tributary)_1,What is the approximate length of Adams Creek in miles?,8.88 miles,14.29 miles,8.00 miles,9.50 miles,14.00 miles,0
Adams Creek (Dutch Buffalo Creek tributary),Adams Creek (Dutch Buffalo Creek tributary)_2,Adams Creek is classified as which order tributary?,1st order,2nd order,3rd order,4th order,5th order,1
Adams Hollow Creek,Adams Hollow Creek_1,Adams Hollow Creek is a tributary to which larger river system?,Delaware River,Mill Creek,Ohio River,Susquehanna River,Hudson River,0
Adams Hollow Creek,Adams Hollow Creek_2,In which Pennsylvania county is Adams Hollow Creek located?,Philadelphia County,Bucks County,Chester County,Montgomery County,Delaware County,1
Addis Run,Addis Run_1,Addis Run is a tributary to which larger river system?,Hughes River,Ohio River,Kanawha River,New River,Monongahela River,0
Addis Run,Addis Run_2,What is the geographical distinction of Addis Run regarding its name within the United States?,It is the only stream of this name in the United States.,It is one of three streams with this name in the United States.,It is the only stream named after a local landowner in West Virginia.,It is the only tributary stream of this name in the United States.,It is the only stream named Addis in the United States.,0
Addison Creek (Salt Creek tributary),Addison Creek (Salt Creek tributary)_1,What is the total length of Addison Creek in kilometers?,17.2 km,10.7 km,27.9 km,172 km,10.7 miles,0
Addison Creek (Salt Creek tributary),Addison Creek (Salt Creek tributary)_2,Which of the following is the ultimate destination of water flowing from Addison Creek?,The Mississippi River,Salt Creek,The Des Plaines River,The Illinois River,The Gulf of Mexico,4
Addition Creek,Addition Creek_1,Addition Creek is a tributary to which larger river system?,South Fork Flathead River,North Fork Flathead River,East Fork Flathead River,West Fork Flathead River,Middle Fork Flathead River,0
Addition Creek,Addition Creek_2,The naming of Addition Creek is traditionally attributed to a celebration of what event?,The wedding of Donald Bruce,The founding of a forestry station,The completion of a bridge crossing,The discovery of a new species,The signing of a land treaty,0
Adobe Creek (Santa Clara County),Adobe Creek (Santa Clara County)_1,What is the primary reason steelhead trout runs are currently blocked from entering Adobe Creek from the Bay?,A tidal gate at the creek's mouth and a long concretized rectangular channel culminating in an impassable drop structure at El Camino Real.,The construction of a dam at the creek's origin on Black Mountain.,Excessive sedimentation from upstream agricultural runoff.,Natural geological formations that have altered the creek's course.,The presence of invasive aquatic species introduced by human activity.,0
Adobe Creek (Santa Clara County),Adobe Creek (Santa Clara County)_2,Adobe Creek originates on Black Mountain and flows northward for approximately what distance before reaching the Palo Alto Flood Basin?,22.9 km,14.2 miles,14.2 km,22.9 miles,14.2 km (22.9 miles),0
"Adobe Creek (Sonoma County, California)","Adobe Creek (Sonoma County, California)_1",What is the approximate length of Adobe Creek in miles?,7.5 miles,12.1 miles,6.0 miles,8.0 miles,10.0 miles,0
"Adobe Creek (Sonoma County, California)","Adobe Creek (Sonoma County, California)_2",Adobe Creek flows into which larger waterway?,Sonoma River,Napa River,Petaluma River,Russian River,Sacramento River,2
Adventure Creek,Adventure Creek_1,"In what year was Adventure Creek named, and what was the primary reason for its designation?","1925, due to a group of surveyors becoming lost","1915, due to a significant flood event","1925, as a memorial to a local explorer","1930, following a geological survey","1925, because of its unique flow pattern",0
Adventure Creek,Adventure Creek_2,Adventure Creek is a tributary of which larger river system?,Utukok River,Koyukuk River,Yukon River,Colville River,Noatak River,0
Aeneas Creek,Aeneas Creek_1,Aeneas Creek is a tributary to which other named waterway?,Graves Creek,Flathead River,Montana Creek,Aeneas River,Chief Creek,0
Aeneas Creek,Aeneas Creek_2,The naming of Aeneas Creek is attributed to which historical figure?,A Flathead chieftain,A Montana explorer,The first settler of the region,A prominent U.S. politician,A Native American leader,0
Afton Run,Afton Run_1,What is the precise length of Afton Run in miles?,6.13 mi,9.87 mi,6.13 km,9.87 mi,10.00 mi,0
Afton Run,Afton Run_2,"Afton Run is classified as what order tributary, and to which larger water body does it flow?",2nd order tributary to Coddle Creek,1st order tributary to Coddle Creek,1st order tributary to Cabarrus River,3rd order tributary to Coddle Creek,1st order tributary to a larger unnamed creek,1
Agawam River,Agawam River_1,What is the daily discharge volume of nitrogen-rich sewage effluent into the Agawam River from the Wareham Sewage Treatment plant?,0.76 million US gallons,"2,900 cubic meters",10.7 miles,17.2 kilometers,570 acres,0
Agawam River,Agawam River_2,Approximately what percentage of the Agawam River's potential fish habitat is located within Halfway Pond?,36%,57%,10%,76%,100%,0
Agee Creek,Agee Creek_1,In which U.S. state is Agee Creek located?,Missouri,Arkansas,Kentucky,Illinois,Tennessee,0
Agee Creek,Agee Creek_2,What is the county of record for Agee Creek?,St. Louis County,Jackson County,Butler County,Greene County,Clay County,2
Agency Creek (Idaho),Agency Creek (Idaho)_1,Agency Creek is a tributary of which larger river in Idaho?,Lemhi River,Salmon River,Snake River,Clearwater River,Payette River,0
Agency Creek (Idaho),Agency Creek (Idaho)_2,What geographical feature is Agency Creek a tributary of?,Lemhi River,Agency Lake,Lemhi Range,Agency Falls,Lemhi Valley,0
Agency Creek (South Yamhill River tributary),Agency Creek (South Yamhill River tributary)_1,Agency Creek is a tributary to which larger river system?,South Yamhill River,North Yamhill River,Willamette River,Columbia River,Oregon Coastal River,0
Agency Creek (South Yamhill River tributary),Agency Creek (South Yamhill River tributary)_2,In which U.S. state is Agency Creek located?,Washington,Oregon,California,Idaho,Nevada,1
Agiapuk River,Agiapuk River_1,From which direction does the Agiapuk River flow into Grantley Harbor?,From the north,From the south,From the east,From the west,From the northeast,0
Agiapuk River,Agiapuk River_2,Which river is identified as a primary tributary of the Agiapuk River?,American River,Seward River,Grantley River,Peninsula River,Alaska River,0
Agiapuk River,Agiapuk River_1,From which direction does the Agiapuk River primarily receive its flow from its main tributary?,North,South,East,West,Northeast,0
Agiapuk River,Agiapuk River_2,The Agiapuk River is a tributary to which larger body of water?,American River,Grantley Harbor,Seward Peninsula,Alaska Bay,North Pacific Ocean,1
Agricultural Ditch (Dirickson Creek tributary),Agricultural Ditch (Dirickson Creek tributary)_1,What is the order of Agricultural Ditch within its watershed hierarchy?,2nd order,1st order,3rd order,4th order,0th order,0
Agricultural Ditch (Dirickson Creek tributary),Agricultural Ditch (Dirickson Creek tributary)_2,"If Agricultural Ditch is 6.32 kilometers long, what is its approximate length in miles?",3.93 miles,6.32 miles,10.25 miles,2.00 miles,1.61 miles,0
Agua Chinon Creek,Agua Chinon Creek_1,What is the approximate capacity of the Agua Chinon Debris Dam in acre-feet?,256 acre-feet,"316,000 m3","7,049 acres","1,200 acres","2,853 ha",0
Agua Chinon Creek,Agua Chinon Creek_2,Which of the following infrastructure elements does Agua Chinon Creek flow under in a buried channel before its confluence with San Diego Creek?,State Route 241 and the Verizon Amphitheatre,"Interstate 5, BNSF Railway tracks, and the Irvine Spectrum Center",The former El Toro Marine Corps Air Station and Interstate 405,Cleveland National Forest and Laguna Coast wilderness area,Borrego Canyon Wash and the 405/133 interchange,1
Agua Fria River,Agua Fria River_1,What is the approximate length of the Agua Fria River in kilometers?,190 km,120 km,32 km,190 miles,6.4 km,0
Agua Fria River,Agua Fria River_2,"The Agua Fria Recharge Project, operated by the Central Arizona Water Conservation District, is situated approximately how far south of the New Waddell Dam?",4 miles,6.4 miles,20 miles,32 km,120 km,0
Agua Sal Creek,Agua Sal Creek_1,In which specific county is Agua Sal Creek situated?,Apache County,Coconino County,Navajo County,Yavapai County,Mohave County,0
Agua Sal Creek,Agua Sal Creek_2,What is the geographical region where Agua Sal Creek is located?,Chinle Valley,San Juan Basin,Little Colorado River Valley,Mogollon Rim,Sonoran Desert,0
Aguaje Canyon,Aguaje Canyon_1,What is the elevation difference between the source and mouth of Aguaje Canyon in meters?,29 meters,94 meters,"1,631 meters","1,660 meters","5,351 meters",0
Aguaje Canyon,Aguaje Canyon_2,Aguaje Canyon originates from a spring known as an 'aguaje' and flows into a tributary stream that eventually feeds into which larger river system?,Colorado River,Purgatoire River,Arkansas River,Rio Grande,San Juan River,1
Ah Pah Creek,Ah Pah Creek_1,What is the approximate length of Ah Pah Creek in miles?,5.25 miles,8.45 miles,5.00 miles,5.50 miles,8.00 miles,0
Ah Pah Creek,Ah Pah Creek_2,Ah Pah Creek is a tributary to which larger river system?,Sacramento River,Klamath River,Trinity River,Feather River,American River,1
Ahmik River,Ahmik River_1,What is the approximate length of the Ahmik River in miles?,5.2 miles,8.4 miles,5.0 miles,5.5 miles,8.0 miles,0
Ahmik River,Ahmik River_2,The Ahmik River is a tributary of which larger river system?,Saint Louis River,Mississippi River,Minnesota River,Wisconsin River,Red River,0
Ahnapee River,Ahnapee River_1,What is the approximate length of the Ahnapee River in kilometers?,23.7 km,14.7 km,38.4 km,237 km,147 km,0
Ahnapee River,Ahnapee River_2,The Ahnapee River originates in which Wisconsin county before flowing into another?,Kewaunee County,Door County,Brown County,Manitowoc County,Oconto County,1
Ahtanum Creek,Ahtanum Creek_1,What is the geographical feature that Ahtanum Creek flows along the north base of?,Ahtanum Ridge,Yakima Ridge,Cascade Mountains,Union Gap Plateau,Tampico Hills,0
Ahtanum Creek,Ahtanum Creek_2,Which river is Ahtanum Creek a tributary of?,Columbia River,Yakima River,Snake River,Wenatchee River,Klickitat River,1
Aichilik River,Aichilik River_1,What is the geographic region where the Aichilik River originates?,The northern flank of the Brooks Range,The southern foothills of the Brooks Range,The coastal plains of the Beaufort Sea,The interior highlands of Alaska,The western edge of the North Slope Borough,0
Aichilik River,Aichilik River_2,Which specific geographical landmark is mentioned in relation to the Aichilik River's outflow into the Beaufort Sea?,Northwest of Demarcation Point,Southeast of Demarcation Point,Northeast of Prudhoe Bay,Southwest of Point Barrow,East of the Yukon Delta,0
Akulik Creek,Akulik Creek_1,In which U.S. state and borough is Akulik Creek located?,"Alaska, North Slope Borough","Alaska, Kenai Peninsula Borough","Washington, King County","Oregon, Multnomah County","California, Los Angeles County",0
Akulik Creek,Akulik Creek_2,What is the etymological origin of the name 'Akulik'?,An Eskimo word meaning 'fancy trimming',A Native American word meaning 'swift water',A Russian word meaning 'northern stream',A Norse word meaning 'icy flow',A Spanish word meaning 'hidden channel',1
Al Fisher Brook,Al Fisher Brook_1,In which U.S. state is Al Fisher Brook located?,New York,Pennsylvania,Delaware,New Jersey,Vermont,0
Al Fisher Brook,Al Fisher Brook_2,Al Fisher Brook flows into which named creek?,Cadosia Creek,Delaware Creek,Susquehanna Creek,Hudson Creek,Mohawk Creek,0
Alabaha River,Alabaha River_1,The Alabaha River's formation is a confluence of which two specific creeks?,Hurricane Creek and Little Hurricane Creek,Hurricane Creek and Big Hurricane Creek,Little Hurricane Creek and Satilla Creek,Pierce Creek and Brantley Creek,Blackshear Creek and Hurricane Creek,0
Alabaha River,Alabaha River_2,At what geographical boundary does the Alabaha River terminate its flow?,Pierce County/Brantley County boundary,Northwestern Pierce County,Blackshear County/Brantley County boundary,Satilla River/Pierce County boundary,Georgia/Florida state line,0
Alabama River,Alabama River_1,Approximately how far upstream from Mobile does the Alabama River merge with the Tombigbee River?,45 miles,6 miles,10 kilometers,72 kilometers,60 miles,0
Alabama River,Alabama River_2,What is the approximate distance north of Montgomery where the Tallapoosa and Coosa rivers unite to form the Alabama River?,10 km,6 miles,45 miles,72 km,6 km,0
Alafia River,Alafia River_1,What is the total length of the Alafia River's north and south prongs combined before they merge?,52.6 miles,23.9 miles,28.7 miles,24.7 miles,335 miles,0
Alafia River,Alafia River_2,"If the combined river flows 24.7 miles into Tampa Bay and the north prong is 23.9 miles long, what is the approximate length of the south prong?",28.7 miles,23.9 miles,53.6 miles,48.6 miles,24.7 miles,0
Alagnak River,Alagnak River_1,What is the approximate catchment area of the Alagnak River in square miles?,1400 sq mi,3600 sq mi,103 sq mi,64 sq mi,140 sq mi,0
Alagnak River,Alagnak River_2,The Alagnak River is a tributary of which other river?,Kvichak River,Alagnak River,Lake River,Peninsula River,Alaska River,0
Alambique Creek,Alambique Creek_1,What is the approximate length of Alambique Creek in miles?,2.7 miles,4.3 miles,3.7 miles,2.3 miles,1.7 miles,0
Alambique Creek,Alambique Creek_2,Alambique Creek is a component of which larger watershed system?,San Francisquito Creek watershed,Alambique Creek watershed,San Mateo Creek watershed,California Creek watershed,United States Creek watershed,0
Alameda Creek,Alameda Creek_1,What is the maximum accessible spawning and rearing habitat in miles for migratory fish in Alameda Creek and its tributaries after habitat restoration?,20 miles,32 miles,45 miles,72 miles,12 miles,0
Alameda Creek,Alameda Creek_2,Which of the following entities is NOT explicitly mentioned as a water supplier for Alameda Creek and its reservoirs?,Zone 7 Water Agency,San Francisco Public Utilities Commission,East Bay Municipal Utility District,Alameda County Water District,None of the above,2
Alamito Creek,Alamito Creek_1,Alamito Creek is a tributary of which major river system?,Rio Grande,Colorado River,Mississippi River,Brazos River,Arkansas River,0
Alamito Creek,Alamito Creek_2,Near which Texas city does Alamito Creek join its primary receiving water body?,"Presidio, Texas","El Paso, Texas","Laredo, Texas","Brownsville, Texas","Del Rio, Texas",0
Alamitos Creek,Alamitos Creek_1,What is the precise length of Alamitos Creek in kilometers?,12.4 km,7.7 km,12.0 km,7.0 km,12.4 miles,0
Alamitos Creek,Alamitos Creek_2,Where does Alamitos Creek transition into the Guadalupe River?,Upon exiting Lake Almaden,At the Los Capitancillos Ridge,After rounding the Los Capitancillos Ridge,When it joins Guadalupe Creek,Before entering Almaden Valley,0
Alamo River,Alamo River_1,"What was the approximate duration, in years, required to control the Colorado River's inflow into the Alamo Canal after the initial flood event?",Approximately 2 years,Approximately 1 year,Approximately 3 years,Approximately 0.5 years,Approximately 1.5 years,0
Alamo River,Alamo River_2,Which of the following substances has NOT been identified by the California Office of Environmental Health Hazard Assessment as a reason for a safe eating advisory for the Alamo River?,Arsenic,Mercury,DDTs,PCBs,Selenium,0
Alamosa Creek,Alamosa Creek_1,What is the approximate elevation of Alamosa Creek's source in meters?,"2,316 meters","7,600 meters","2,300 meters","2,320 meters","7,590 meters",0
Alamosa Creek,Alamosa Creek_2,"Before the creation of Elephant Butte Reservoir, what was the original confluence point for Alamosa Creek?",The Rio Grande,Monticello Canyon,The San Mateo Mountains,Elephant Butte Dam,Socorro County,0
Alamosa River,Alamosa River_1,What is the approximate area of the Alamosa River's watershed in square miles?,148 square miles,103 square miles,64 square miles,380 square miles,148 square kilometers,0
Alamosa River,Alamosa River_2,The Alamosa River's name in Spanish translates to which descriptive meaning?,Swift flowing water,Shaded with cottonwoods,Valley of the river,Home of the trout,Ancient riverbed,1
Alampa Creek,Alampa Creek_1,Alampa Creek is a tributary to which other creek?,Pinishook Creek,Choctaw Creek,Mississippi Creek,Alampa Creek,Hiding Creek,0
Alampa Creek,Alampa Creek_2,What is the most likely linguistic origin of the name 'Alampa'?,Choctaw language,Mississippi dialect,Native American origin,English translation,European settlement,0
Alapaha River,Alapaha River_1,What is the approximate length of the Alapaha River in kilometers?,325 km,202 km,320 km,205 km,330 km,0
Alapaha River,Alapaha River_2,The Alapaha River is a tributary of which larger river system?,Suwannee River,Gulf of Mexico,Ogeechee River,Savannah River,Altamaha River,0
Alapahoochee River,Alapahoochee River_1,What is the approximate distance in miles from the Alapahoochee River's source to its confluence with the Alapaha River?,14.4 miles,10 miles,23.2 miles,16 miles,2 miles,0
Alapahoochee River,Alapahoochee River_2,The Alapahoochee River's waters ultimately discharge into which major North American body of water?,The Atlantic Ocean,The Gulf of Mexico,The Pacific Ocean,The Caribbean Sea,The Great Lakes,1
Alapocas Run,Alapocas Run_1,What is the approximate length of Alapocas Run in miles?,1.05 mi,1.69 mi,2.10 mi,0.53 mi,1.50 mi,0
Alapocas Run,Alapocas Run_2,Alapocas Run is a tributary to which larger waterway?,Delaware River,Brandywine Creek,Christina River,White Clay Creek,Red Clay Creek,1
