river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Adams Hollow Creek,Adams Hollow Creek_2,In which Pennsylvania county is Adams Hollow Creek located?,Montgomery County,Bucks County,Chester County,Delaware County,Philadelphia County,1
Addis Run,Addis Run_1,Addis Run is a tributary to which larger river system?,New River,Ohio River,Kanawha River,Monongahela River,Hughes River,4
Addis Run,Addis Run_2,What is the geographical distinction of Addis Run regarding its name within the United States?,It is the only tributary stream of this name in the United States.,It is one of three streams with this name in the United States.,It is the only stream named after a local landowner in West Virginia.,It is the only stream named Addis in the United States.,It is the only stream of this name in the United States.,4
Addison Creek (Salt Creek tributary),Addison Creek (Salt Creek tributary)_1,What is the total length of Addison Creek in kilometers?,172 km,10.7 km,27.9 km,10.7 miles,17.2 km,4
Addison Creek (Salt Creek tributary),Addison Creek (Salt Creek tributary)_2,Which of the following is the ultimate destination of water flowing from Addison Creek?,The Illinois River,Salt Creek,The Des Plaines River,The Gulf of Mexico,The Mississippi River,3
Addition Creek,Addition Creek_1,Addition Creek is a tributary to which larger river system?,West Fork Flathead River,North Fork Flathead River,East Fork Flathead River,Middle Fork Flathead River,South Fork Flathead River,4
Addition Creek,Addition Creek_2,The naming of Addition Creek is traditionally attributed to a celebration of what event?,The discovery of a new species,The founding of a forestry station,The completion of a bridge crossing,The signing of a land treaty,The wedding of Donald Bruce,4
Adobe Creek (Santa Clara County),Adobe Creek (Santa Clara County)_1,What is the primary reason steelhead trout runs are currently blocked from entering Adobe Creek from the Bay?,Natural geological formations that have altered the creek's course.,The construction of a dam at the creek's origin on Black Mountain.,Excessive sedimentation from upstream agricultural runoff.,The presence of invasive aquatic species introduced by human activity.,A tidal gate at the creek's mouth and a long concretized rectangular channel culminating in an impassable drop structure at El Camino Real.,4
Adobe Creek (Santa Clara County),Adobe Creek (Santa Clara County)_2,Adobe Creek originates on Black Mountain and flows northward for approximately what distance before reaching the Palo Alto Flood Basin?,22.9 miles,14.2 miles,14.2 km,14.2 km (22.9 miles),22.9 km,4
"Adobe Creek (Sonoma County, California)","Adobe Creek (Sonoma County, California)_1",What is the approximate length of Adobe Creek in miles?,8.0 miles,12.1 miles,6.0 miles,10.0 miles,7.5 miles,4
"Adobe Creek (Sonoma County, California)","Adobe Creek (Sonoma County, California)_2",Adobe Creek flows into which larger waterway?,Russian River,Napa River,Petaluma River,Sacramento River,Sonoma River,2
Adventure Creek,Adventure Creek_1,"In what year was Adventure Creek named, and what was the primary reason for its designation?","1930, following a geological survey","1915, due to a significant flood event","1925, as a memorial to a local explorer","1925, because of its unique flow pattern","1925, due to a group of surveyors becoming lost",4
Adventure Creek,Adventure Creek_2,Adventure Creek is a tributary of which larger river system?,Colville River,Koyukuk River,Yukon River,Noatak River,Utukok River,4
Aeneas Creek,Aeneas Creek_1,Aeneas Creek is a tributary to which other named waterway?,Aeneas River,Flathead River,Montana Creek,Chief Creek,Graves Creek,4
Aeneas Creek,Aeneas Creek_2,The naming of Aeneas Creek is attributed to which historical figure?,A prominent U.S. politician,A Montana explorer,The first settler of the region,A Native American leader,A Flathead chieftain,4
Afton Run,Afton Run_1,What is the precise length of Afton Run in miles?,9.87 mi,9.87 mi,6.13 km,10.00 mi,6.13 mi,4
Afton Run,Afton Run_2,"Afton Run is classified as what order tributary, and to which larger water body does it flow?",3rd order tributary to Coddle Creek,1st order tributary to Coddle Creek,1st order tributary to Cabarrus River,1st order tributary to a larger unnamed creek,2nd order tributary to Coddle Creek,1
Agawam River,Agawam River_1,What is the daily discharge volume of nitrogen-rich sewage effluent into the Agawam River from the Wareham Sewage Treatment plant?,17.2 kilometers,"2,900 cubic meters",10.7 miles,570 acres,0.76 million US gallons,4
Agawam River,Agawam River_2,Approximately what percentage of the Agawam River's potential fish habitat is located within Halfway Pond?,76%,57%,10%,100%,36%,4
Agee Creek,Agee Creek_1,In which U.S. state is Agee Creek located?,Illinois,Arkansas,Kentucky,Tennessee,Missouri,4
Agee Creek,Agee Creek_2,What is the county of record for Agee Creek?,Greene County,Jackson County,Butler County,Clay County,St. Louis County,2
Agency Creek (Idaho),Agency Creek (Idaho)_1,Agency Creek is a tributary of which larger river in Idaho?,Clearwater River,Salmon River,Snake River,Payette River,Lemhi River,4
Agency Creek (Idaho),Agency Creek (Idaho)_2,What geographical feature is Agency Creek a tributary of?,Agency Falls,Agency Lake,Lemhi Range,Lemhi Valley,Lemhi River,4
Agency Creek (South Yamhill River tributary),Agency Creek (South Yamhill River tributary)_1,Agency Creek is a tributary to which larger river system?,Columbia River,North Yamhill River,Willamette River,Oregon Coastal River,South Yamhill River,4
Agency Creek (South Yamhill River tributary),Agency Creek (South Yamhill River tributary)_2,In which U.S. state is Agency Creek located?,Idaho,Oregon,California,Nevada,Washington,1
Agiapuk River,Agiapuk River_1,From which direction does the Agiapuk River flow into Grantley Harbor?,From the west,From the south,From the east,From the northeast,From the north,4
Agiapuk River,Agiapuk River_2,Which river is identified as a primary tributary of the Agiapuk River?,Peninsula River,Seward River,Grantley River,Alaska River,American River,4
Agiapuk River,Agiapuk River_1,From which direction does the Agiapuk River primarily receive its flow from its main tributary?,West,South,East,Northeast,North,4
Agiapuk River,Agiapuk River_2,The Agiapuk River is a tributary to which larger body of water?,Alaska Bay,Grantley Harbor,Seward Peninsula,North Pacific Ocean,American River,1
Agricultural Ditch (Dirickson Creek tributary),Agricultural Ditch (Dirickson Creek tributary)_1,What is the order of Agricultural Ditch within its watershed hierarchy?,4th order,1st order,3rd order,0th order,2nd order,4
Agricultural Ditch (Dirickson Creek tributary),Agricultural Ditch (Dirickson Creek tributary)_2,"If Agricultural Ditch is 6.32 kilometers long, what is its approximate length in miles?",2.00 miles,6.32 miles,10.25 miles,1.61 miles,3.93 miles,4
Agua Chinon Creek,Agua Chinon Creek_1,What is the approximate capacity of the Agua Chinon Debris Dam in acre-feet?,"1,200 acres","316,000 m3","7,049 acres","2,853 ha",256 acre-feet,4
Agua Chinon Creek,Agua Chinon Creek_2,Which of the following infrastructure elements does Agua Chinon Creek flow under in a buried channel before its confluence with San Diego Creek?,Cleveland National Forest and Laguna Coast wilderness area,"Interstate 5, BNSF Railway tracks, and the Irvine Spectrum Center",The former El Toro Marine Corps Air Station and Interstate 405,Borrego Canyon Wash and the 405/133 interchange,State Route 241 and the Verizon Amphitheatre,1
Agua Fria River,Agua Fria River_1,What is the approximate length of the Agua Fria River in kilometers?,190 miles,120 km,32 km,6.4 km,190 km,4
Agua Fria River,Agua Fria River_2,"The Agua Fria Recharge Project, operated by the Central Arizona Water Conservation District, is situated approximately how far south of the New Waddell Dam?",32 km,6.4 miles,20 miles,120 km,4 miles,4
Agua Sal Creek,Agua Sal Creek_1,In which specific county is Agua Sal Creek situated?,Yavapai County,Coconino County,Navajo County,Mohave County,Apache County,4
Agua Sal Creek,Agua Sal Creek_2,What is the geographical region where Agua Sal Creek is located?,Mogollon Rim,San Juan Basin,Little Colorado River Valley,Sonoran Desert,Chinle Valley,4
Aguaje Canyon,Aguaje Canyon_1,What is the elevation difference between the source and mouth of Aguaje Canyon in meters?,"1,660 meters",94 meters,"1,631 meters","5,351 meters",29 meters,4
Aguaje Canyon,Aguaje Canyon_2,Aguaje Canyon originates from a spring known as an 'aguaje' and flows into a tributary stream that eventually feeds into which larger river system?,Rio Grande,Purgatoire River,Arkansas River,San Juan River,Colorado River,1
Ah Pah Creek,Ah Pah Creek_1,What is the approximate length of Ah Pah Creek in miles?,5.50 miles,8.45 miles,5.00 miles,8.00 miles,5.25 miles,4
Ah Pah Creek,Ah Pah Creek_2,Ah Pah Creek is a tributary to which larger river system?,Feather River,Klamath River,Trinity River,American River,Sacramento River,1
Ahmik River,Ahmik River_1,What is the approximate length of the Ahmik River in miles?,5.5 miles,8.4 miles,5.0 miles,8.0 miles,5.2 miles,4
Ahmik River,Ahmik River_2,The Ahmik River is a tributary of which larger river system?,Wisconsin River,Mississippi River,Minnesota River,Red River,Saint Louis River,4
Ahnapee River,Ahnapee River_1,What is the approximate length of the Ahnapee River in kilometers?,237 km,14.7 km,38.4 km,147 km,23.7 km,4
Ahnapee River,Ahnapee River_2,The Ahnapee River originates in which Wisconsin county before flowing into another?,Manitowoc County,Door County,Brown County,Oconto County,Kewaunee County,1
Ahtanum Creek,Ahtanum Creek_1,What is the geographical feature that Ahtanum Creek flows along the north base of?,Union Gap Plateau,Yakima Ridge,Cascade Mountains,Tampico Hills,Ahtanum Ridge,4
Ahtanum Creek,Ahtanum Creek_2,Which river is Ahtanum Creek a tributary of?,Wenatchee River,Yakima River,Snake River,Klickitat River,Columbia River,1
Aichilik River,Aichilik River_1,What is the geographic region where the Aichilik River originates?,The interior highlands of Alaska,The southern foothills of the Brooks Range,The coastal plains of the Beaufort Sea,The western edge of the North Slope Borough,The northern flank of the Brooks Range,4
Aichilik River,Aichilik River_2,Which specific geographical landmark is mentioned in relation to the Aichilik River's outflow into the Beaufort Sea?,Southwest of Point Barrow,Southeast of Demarcation Point,Northeast of Prudhoe Bay,East of the Yukon Delta,Northwest of Demarcation Point,4
Akulik Creek,Akulik Creek_1,In which U.S. state and borough is Akulik Creek located?,"Oregon, Multnomah County","Alaska, Kenai Peninsula Borough","Washington, King County","California, Los Angeles County","Alaska, North Slope Borough",4
Akulik Creek,Akulik Creek_2,What is the etymological origin of the name 'Akulik'?,A Norse word meaning 'icy flow',A Native American word meaning 'swift water',A Russian word meaning 'northern stream',A Spanish word meaning 'hidden channel',An Eskimo word meaning 'fancy trimming',1
Al Fisher Brook,Al Fisher Brook_1,In which U.S. state is Al Fisher Brook located?,New Jersey,Pennsylvania,Delaware,Vermont,New York,4
Al Fisher Brook,Al Fisher Brook_2,Al Fisher Brook flows into which named creek?,Hudson Creek,Delaware Creek,Susquehanna Creek,Mohawk Creek,Cadosia Creek,4
Alabaha River,Alabaha River_1,The Alabaha River's formation is a confluence of which two specific creeks?,Pierce Creek and Brantley Creek,Hurricane Creek and Big Hurricane Creek,Little Hurricane Creek and Satilla Creek,Blackshear Creek and Hurricane Creek,Hurricane Creek and Little Hurricane Creek,4
Alabaha River,Alabaha River_2,At what geographical boundary does the Alabaha River terminate its flow?,Satilla River/Pierce County boundary,Northwestern Pierce County,Blackshear County/Brantley County boundary,Georgia/Florida state line,Pierce County/Brantley County boundary,4
Alabama River,Alabama River_1,Approximately how far upstream from Mobile does the Alabama River merge with the Tombigbee River?,72 kilometers,6 miles,10 kilometers,60 miles,45 miles,4
Alabama River,Alabama River_2,What is the approximate distance north of Montgomery where the Tallapoosa and Coosa rivers unite to form the Alabama River?,72 km,6 miles,45 miles,6 km,10 km,4
Alafia River,Alafia River_1,What is the total length of the Alafia River's north and south prongs combined before they merge?,24.7 miles,23.9 miles,28.7 miles,335 miles,52.6 miles,4
Alafia River,Alafia River_2,"If the combined river flows 24.7 miles into Tampa Bay and the north prong is 23.9 miles long, what is the approximate length of the south prong?",48.6 miles,23.9 miles,53.6 miles,24.7 miles,28.7 miles,4
Alagnak River,Alagnak River_1,What is the approximate catchment area of the Alagnak River in square miles?,64 sq mi,3600 sq mi,103 sq mi,140 sq mi,1400 sq mi,4
Alagnak River,Alagnak River_2,The Alagnak River is a tributary of which other river?,Peninsula River,Alagnak River,Lake River,Alaska River,Kvichak River,4
Alambique Creek,Alambique Creek_1,What is the approximate length of Alambique Creek in miles?,2.3 miles,4.3 miles,3.7 miles,1.7 miles,2.7 miles,4
Alambique Creek,Alambique Creek_2,Alambique Creek is a component of which larger watershed system?,California Creek watershed,Alambique Creek watershed,San Mateo Creek watershed,United States Creek watershed,San Francisquito Creek watershed,4
Alameda Creek,Alameda Creek_1,What is the maximum accessible spawning and rearing habitat in miles for migratory fish in Alameda Creek and its tributaries after habitat restoration?,72 miles,32 miles,45 miles,12 miles,20 miles,4
Alameda Creek,Alameda Creek_2,Which of the following entities is NOT explicitly mentioned as a water supplier for Alameda Creek and its reservoirs?,Alameda County Water District,San Francisco Public Utilities Commission,East Bay Municipal Utility District,None of the above,Zone 7 Water Agency,2
Alamito Creek,Alamito Creek_1,Alamito Creek is a tributary of which major river system?,Brazos River,Colorado River,Mississippi River,Arkansas River,Rio Grande,4
Alamito Creek,Alamito Creek_2,Near which Texas city does Alamito Creek join its primary receiving water body?,"Brownsville, Texas","El Paso, Texas","Laredo, Texas","Del Rio, Texas","Presidio, Texas",4
Alamitos Creek,Alamitos Creek_1,What is the precise length of Alamitos Creek in kilometers?,7.0 km,7.7 km,12.0 km,12.4 miles,12.4 km,4
Alamitos Creek,Alamitos Creek_2,Where does Alamitos Creek transition into the Guadalupe River?,When it joins Guadalupe Creek,At the Los Capitancillos Ridge,After rounding the Los Capitancillos Ridge,Before entering Almaden Valley,Upon exiting Lake Almaden,4
Alamo River,Alamo River_1,"What was the approximate duration, in years, required to control the Colorado River's inflow into the Alamo Canal after the initial flood event?",Approximately 0.5 years,Approximately 1 year,Approximately 3 years,Approximately 1.5 years,Approximately 2 years,4
Alamo River,Alamo River_2,Which of the following substances has NOT been identified by the California Office of Environmental Health Hazard Assessment as a reason for a safe eating advisory for the Alamo River?,PCBs,Mercury,DDTs,Selenium,Arsenic,4
Alamosa Creek,Alamosa Creek_1,What is the approximate elevation of Alamosa Creek's source in meters?,"2,320 meters","7,600 meters","2,300 meters","7,590 meters","2,316 meters",4
Alamosa Creek,Alamosa Creek_2,"Before the creation of Elephant Butte Reservoir, what was the original confluence point for Alamosa Creek?",Elephant Butte Dam,Monticello Canyon,The San Mateo Mountains,Socorro County,The Rio Grande,4
Alamosa River,Alamosa River_1,What is the approximate area of the Alamosa River's watershed in square miles?,380 square miles,103 square miles,64 square miles,148 square kilometers,148 square miles,4
Alamosa River,Alamosa River_2,The Alamosa River's name in Spanish translates to which descriptive meaning?,Home of the trout,Shaded with cottonwoods,Valley of the river,Ancient riverbed,Swift flowing water,1
Alampa Creek,Alampa Creek_1,Alampa Creek is a tributary to which other creek?,Alampa Creek,Choctaw Creek,Mississippi Creek,Hiding Creek,Pinishook Creek,4
Alampa Creek,Alampa Creek_2,What is the most likely linguistic origin of the name 'Alampa'?,English translation,Mississippi dialect,Native American origin,European settlement,Choctaw language,4
Alapaha River,Alapaha River_1,What is the approximate length of the Alapaha River in kilometers?,205 km,202 km,320 km,330 km,325 km,4
Alapaha River,Alapaha River_2,The Alapaha River is a tributary of which larger river system?,Savannah River,Gulf of Mexico,Ogeechee River,Altamaha River,Suwannee River,4
Alapahoochee River,Alapahoochee River_1,What is the approximate distance in miles from the Alapahoochee River's source to its confluence with the Alapaha River?,16 miles,10 miles,23.2 miles,2 miles,14.4 miles,4
Alapahoochee River,Alapahoochee River_2,The Alapahoochee River's waters ultimately discharge into which major North American body of water?,The Caribbean Sea,The Gulf of Mexico,The Pacific Ocean,The Great Lakes,The Atlantic Ocean,1
Alapocas Run,Alapocas Run_1,What is the approximate length of Alapocas Run in miles?,0.53 mi,1.69 mi,2.10 mi,1.50 mi,1.05 mi,4
Alapocas Run,Alapocas Run_2,Alapocas Run is a tributary to which larger waterway?,White Clay Creek,Brandywine Creek,Christina River,Red Clay Creek,Delaware River,1
